                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.86672,                0.91845,                 1.2692,                 0.9195,                0.84375,                0.93522,                0.71432,                0.82891,                0.63814,                 1.2423,              0.0010496,              0.0010496,              0.0010496
                     50,                0.84379,                0.88468,                 1.2477,                0.92439,                  0.875,                0.93634,                0.69718,                0.90566,                0.74401,                 1.3621,              0.0010298,              0.0010298,              0.0010298
                     51,                0.84403,                0.86709,                 1.2564,                 0.8457,                0.90625,                0.91868,                0.68808,                0.90397,                0.73498,                 1.3731,                0.00101,                0.00101,                0.00101
                     52,                0.82535,                0.87655,                 1.2359,                0.88924,                 0.8125,                0.93069,                0.68311,                0.88724,                0.74634,                 1.3369,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82178,                0.83175,                 1.2322,                0.92555,                  0.875,                0.91066,                0.68175,                0.92893,                0.73141,                 1.3429,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81634,                0.84021,                 1.2118,                0.84649,                0.86182,                0.88923,                0.69285,                0.87095,                0.71583,                 1.2885,              0.0009506,              0.0009506,              0.0009506
                     55,                0.79755,                0.77119,                 1.1952,                0.86151,                0.84375,                0.87044,                0.69574,                 0.8237,                0.75713,                 1.2464,              0.0009308,              0.0009308,              0.0009308
                     56,                0.77353,                 0.7995,                 1.2066,                0.89517,                 0.8125,                0.91533,                0.72371,                0.81977,                0.73337,                 1.2488,               0.000911,               0.000911,               0.000911
                     57,                0.78461,                0.76781,                 1.2021,                      1,                0.77048,                0.91578,                0.74178,                0.82182,                0.74362,                 1.2519,              0.0008912,              0.0008912,              0.0008912
                     58,                0.75543,                0.73794,                  1.179,                0.83714,                0.84375,                0.87191,                0.70192,                0.74225,                0.74859,                 1.2285,              0.0008714,              0.0008714,              0.0008714
                     59,                0.76104,                0.76385,                 1.1853,                0.84094,                  0.875,                0.88874,                0.69284,                0.81705,                0.74208,                 1.2967,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74538,                0.71485,                  1.172,                0.89777,                0.90625,                0.91242,                 0.6784,                0.82258,                0.65018,                  1.254,              0.0008318,              0.0008318,              0.0008318
                     61,                0.73807,                0.70635,                 1.1776,                0.87833,                0.90251,                0.93016,                0.73002,                0.79485,                0.66571,                 1.1944,               0.000812,               0.000812,               0.000812
                     62,                0.74995,                0.68099,                 1.1735,                0.88544,                  0.875,                0.90812,                0.72966,                 0.8495,                 0.6715,                 1.2726,              0.0007922,              0.0007922,              0.0007922
                     63,                0.72256,                0.70319,                 1.1497,                0.96532,                0.86989,                0.93407,                0.73897,                0.82668,                0.59706,                 1.2513,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.7335,                0.71475,                 1.1646,                0.93091,                  0.875,                 0.9293,                0.71585,                0.88746,                0.59432,                 1.3358,              0.0007526,              0.0007526,              0.0007526
                     65,                0.72061,                0.67712,                 1.1495,                0.93029,                 0.9375,                0.95085,                0.74316,                0.76963,                0.58464,                 1.2078,              0.0007328,              0.0007328,              0.0007328
                     66,                0.70314,                0.66714,                  1.141,                      1,                0.83638,                0.93296,                0.75551,                0.75137,                0.61304,                 1.2128,               0.000713,               0.000713,               0.000713
                     67,                 0.6827,                0.67014,                  1.133,                0.95269,                0.90625,                0.93263,                0.74625,                0.73682,                0.61321,                  1.212,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.6795,                0.65117,                 1.1111,                0.99202,                0.84375,                0.93496,                 0.7379,                0.74157,                0.65377,                 1.1935,              0.0006734,              0.0006734,              0.0006734
                     69,                0.67516,                0.61341,                 1.1108,                0.92975,                0.82739,                0.92715,                0.75551,                0.74825,                0.65369,                 1.2096,              0.0006536,              0.0006536,              0.0006536
                     70,                0.68608,                0.60868,                 1.1041,                0.96424,                0.84266,                0.92286,                0.75285,                0.71431,                0.65084,                 1.1634,              0.0006338,              0.0006338,              0.0006338
                     71,                0.65538,                0.59858,                  1.105,                0.99009,                0.84375,                0.93224,                0.73255,                0.80326,                0.63143,                 1.2361,               0.000614,               0.000614,               0.000614
                     72,                0.66501,                0.57322,                 1.1083,                0.93518,                0.90178,                0.93115,                0.74515,                 0.7896,                0.57068,                 1.2118,              0.0005942,              0.0005942,              0.0005942
                     73,                0.63937,                0.57145,                 1.0931,                0.96664,                0.90546,                0.93364,                0.76627,                0.74025,                0.58168,                  1.161,              0.0005744,              0.0005744,              0.0005744
                     74,                0.65748,                0.60593,                 1.1128,                0.95374,                  0.875,                 0.9218,                0.76201,                0.72293,                0.64621,                 1.1629,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64099,                0.56287,                 1.0999,                0.93097,                0.84297,                 0.9039,                0.74831,                 0.7731,                0.66415,                 1.2097,              0.0005348,              0.0005348,              0.0005348
                     76,                0.61397,                0.53774,                 1.0748,                0.93666,                0.92448,                0.92763,                0.74002,                0.76569,                0.68346,                 1.2003,               0.000515,               0.000515,               0.000515
                     77,                0.61885,                0.54422,                 1.0747,                0.89944,                 0.9375,                0.92153,                0.72412,                0.77088,                 0.7009,                 1.2205,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62004,                0.54663,                 1.0796,                0.87394,                0.86678,                0.89844,                0.72467,                0.80689,                0.65968,                 1.2559,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61629,                0.53358,                 1.0732,                 0.8706,                0.84111,                0.89873,                0.72049,                0.82903,                   0.62,                 1.2574,              0.0004556,              0.0004556,              0.0004556
                     80,                0.62398,                0.54236,                 1.0822,                0.90039,                  0.875,                0.91965,                0.76441,                0.74325,                0.47743,                 1.1993,              0.0004358,              0.0004358,              0.0004358
                     81,                0.61788,                0.53322,                 1.0798,                0.92923,                  0.875,                0.92657,                0.78365,                0.70436,                0.46241,                 1.1769,               0.000416,               0.000416,               0.000416
                     82,                0.57804,                0.49273,                 1.0498,                 0.9017,                 0.9375,                0.93271,                0.78578,                0.66198,                0.45916,                 1.1284,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.5869,                0.50273,                 1.0584,                0.95637,                0.90625,                0.93427,                0.77732,                0.66823,                0.51095,                  1.136,              0.0003764,              0.0003764,              0.0003764
                     84,                0.60133,                0.51442,                 1.0741,                0.98779,                0.84375,                0.92492,                0.78254,                0.68105,                0.52669,                 1.1855,              0.0003566,              0.0003566,              0.0003566
